Timestamp,Latency_ms,Status
1768232771.0797806,28.54,200
1768232771.6010416,12.44,200
1768232772.1192198,6.15,200
1768232772.6248493,5.20,200
1768232773.1361685,8.74,200
1768232773.6441002,5.28,200
1768232774.1516025,6.11,200
1768232774.6596804,6.22,200
1768232775.1684778,6.88,200
1768232775.676372,6.23,200
1768232776.672876,495.03,200
1768232779.1848242,TIMEOUT,TIMEOUT
1768232781.73235,TIMEOUT,TIMEOUT
1768232784.2379966,TIMEOUT,TIMEOUT
1768232784.8775356,119.41,200
1768232785.9763947,595.33,200
1768232786.6351962,158.02,200
1768232787.370996,234.96,200
1768232788.21063,339.06,200
1768232788.9131145,183.48,200
1768232790.7029614,1288.35,200
1768232791.2269554,22.84,200
1768232791.7549884,24.69,200
1768232792.2747552,16.34,200
1768232792.8089685,31.48,200
1768232793.3264031,15.45,200
1768232793.8469636,19.18,200
1768232794.367362,16.76,200
1768232794.893408,23.94,200
1768232795.4192853,24.65,200
